MapNo,Lon,Lat,DeltaR,DeltaRErr,Reference,Locality,Subregion,Notes,CollectionYear,ReservoirAge,ReservoirErr,C14age,C14err,LabID,Delta13C,TaxaNo,RefNo,nextime,last_changed
687,9,56.8,-268,52,"Krog, H and T:1974","Limfjorden, Denmark",,"b,j",1952,132,53,335,52,K-433,,178,89,,06/11/2024 11:23
30,-27.13,70.47,-84,73,"Tauber, H an:1975",Hekla Havn,,l,1933,358,74,520,73,K-345,,108,144,,14/09/2024 14:59
29,-26.23,70.45,-191,52,"Tauber, H an:1975",Hekla Havn,,l,1892,328,52,431,52,K-344,,108,144,,14/09/2024 14:59
28,-25.28,71.13,-197,72,"Tauber, H an:1975",Bjorneoerne,,l,1933,245,73,407,72,K-343,,108,144,,14/09/2024 14:59
27,-22.48,70.82,-149,52,"Tauber, H an:1975",Hurry Inlet,,l,1933,293,53,455,52,K-342,,23,144,,14/09/2024 14:59
32,-69,41,-43,22,"Weidman, C R:1993","Georges Bank, Nova Scotia (76 m)",,"e, midpoint",1947,367,24,560,22,AA-6922seri,,19,155,,31/08/2023 09:36
33,-55,45,-39,24,"Campana, S E:1997",Canadian East Coast,,"e, midpoint",1951,363,30,564,24,Beta-series,,291,29,,30/08/2023 13:38
26,-22.23,70.45,-2,74,"Tauber, H an:1975",Kap Hope,,l,1933,440,74,602,74,K-341,,244,144,,14/09/2024 14:59
25,-24.08,69.42,-85,73,"Tauber, H an:1975",Kap Dalton,,l,1900,432,74,528,73,K-340,,23,144,,14/09/2024 14:59
37,-52,69.68,-129,58,"Krog, H and T:1974","Mudderbugten, Disco, Greenland",,e,1906,374,59,480,58,K-339,,155,89,,14/09/2024 14:59
36,-53.5,69.25,-309,71,"Krog, H and T:1974","Disco, Greenland",,"c,e",1902,208,72,303,71,K-338,,155,89,,14/09/2024 14:59
35,-51.13,69.22,-248,72,"Krog, H and T:1974","Jacobshavn, Greenland",,e,1898,269,73,367,72,K-337,,155,89,,14/09/2024 14:59
709,-114.7,68.77,124,40,Coulthard RD:2010,"Dophin & Union Str., NU",Arctic Ocean Coastal,,1913,610,40,730,40,CAMS-57296,1.1,148,32,,11/08/2020 23:00
694,8.82,56.72,21,67,Heier-Nielse:1995,"Glyng�r, Limfjorden",,b,1886,532,67,649,67,AAR-992,,1,74,,11/08/2020 23:00
695,8.88,56.77,162,62,Heier-Nielse:1995,"Nykobing Mors, Limfjorden",,b,1906,665,62,771,62,AAR-1073,,174,74,,11/08/2020 23:00
696,9,56.95,-46,59,Heier-Nielse:1995,"Limfjorden, Denmark",,"b,c",1905,462,59,564,59,AAR-903,,178,74,,11/08/2020 23:00
698,10.28,56.97,115,62,Heier-Nielse:1995,"Nordmandshage, Limfjorden natural banks",,b,1895,635,62,734,62,AAR-900,,178,74,,11/08/2020 23:00
700,12.05,55.67,347,56,Heier-Nielse:1995,Roskilde Fjord by Roskilde,,b,1913,833,56,953,56,AAR-987,,45,74,,11/08/2020 23:00
55,29.75,70.07,-107,36,"Mangerud, J :1975","Vadso, Finnmark, N Norway",,,1857,416,37,541,36,T-1536,,24,102,,11/08/2020 23:00
56,18.3,69.65,-100,37,"Mangerud, J :1975","Tromso, Troms, N Norway",,,1857,423,38,548,37,T-1534,,57,102,,11/08/2020 23:00
57,-22,64,-60,51,"Broecker, W :1961","Faxa Bay, Kollafjord, Iceland",,,1946,353,52,543,51,L-576C,,172,24,,11/08/2020 23:00
58,-22,64,18,51,"Broecker, W :1961","Faxa Bay, Kollafjord, Iceland",,,1900,535,51,631,51,L-576H,,172,24,,11/08/2020 23:00
59,-22,64,57,51,"Broecker, W :1961","Faxa Bay, Kollafjord, Iceland",,,1840,586,52,715,51,L-5761,,172,24,,11/08/2020 23:00
60,-22,65.17,-108,35,Håkansson S:1984,"Reykajavik, SW Iceland (3 m)",,,1900,409,36,505,35,Lu-2006,,155,71,,11/08/2020 23:00
61,-14.25,64.67,-135,41,Håkansson S:1984,"Djupivogur, E. Iceland (6 m)",,,1898,382,42,480,41,Lu-2007,,155,71,,11/08/2020 23:00
62,-14,65.28,-124,41,Håkansson S:1984,"Seydisfjordur, E. Iceland (40 m)",,,1926,327,42,480,41,Lu-2008,,131,71,,11/08/2020 23:00
63,-22.5,64.33,-134,35,Håkansson S:1984,"Faxafloi, SW Iceland (33m)",,,1926,317,36,470,35,Lu-2009,,131,71,,11/08/2020 23:00
64,-22.2,64.12,-103,42,Håkansson S:1984,"Faxafloi, SW Iceland (48 m)",,,1939,334,43,500,42,Lu-2010,,19,71,,11/08/2020 23:00
65,-17.5,66,-164,34,Håkansson S:1984,"Skjalfani, N. Iceland (22 m)",,,1926,287,35,440,34,Lu-2011,,19,71,,11/08/2020 23:00
34,-51.75,64.2,-99,59,"Krog, H and T:1974","Godthab, Greenland",,e,1887,412,59,528,59,K-336,,155,89,,14/09/2024 14:59
67,-15.32,66.25,-53,59,"Krog, H and T:1974","Thorshofn, Iceland",,j,1913,433,60,553,59,K-335,,155,89,,14/09/2024 14:59
68,-7.33,62.07,-187,72,"Krog, H and T:1974","Sorvag, Vago, Faroe Islands",,j,1905,321,73,423,72,K-334,,155,89,,14/09/2024 14:59
69,2.58,60.63,-140,35,"Mangerud, J :1975","Vikingbank, North Sea",,f,1906,363,36,469,35,T-1533,,146,102,,11/08/2020 23:00
70,5,60.57,-180,59,"Mangerud, J,:1972","Ideosen, Herdla, Hordaland, Norway",,f,1923,281,59,424,59,"T-954A,B",,19,101,,11/08/2020 23:00
71,6.28,60.3,-83,58,"Mangerud, J,:1972","Sollesnes, Jondal, Hardanger, Norway (20",,f,1908,412,58,525,58,T-955,,19,101,,11/08/2020 23:00
72,5.4,59.7,-208,85,"Mangerud, J,:1972","Mosterhavn, Hordaland, Norway",,f,1918,265,85,397,85,T-956,,258,101,,11/08/2020 23:00
73,6,54,-189,33,"Weidman, C R:1995",German Bight,North Sea,d,1948,219,34,414,33,OS-0093,,19,154,,11/08/2020 23:00
74,6,54,-71,105,"Weidman, C R:1995",German Bight,North Sea,d,1950,333,105,532,105,OS-0094,,19,154,,11/08/2020 23:00
75,6,54,92,116,"Weidman, C R:1995",German Bight,North Sea,d,1954,488,119,695,116,OS-rec1018,,19,154,,11/08/2020 23:00
76,9.3,58.73,-228,57,"Mangerud, J,:1972","Gronholmsund, Risor, Aust-Agder, Norway",,,1905,280,57,382,57,T-960,,146,101,,11/08/2020 23:00
77,11.43,58.25,-197,50,Håkansson S:1970,"Near Kristingeberg, island of Skaftoland",,g(8),1896,322,50,420,50,Lu-237,,315,67,,11/08/2020 23:00
78,12,58,-94,80,"Olsson, I U,:1969","Bohuslan, Sweden U-607",,"c,g",1935,350,80,510,80,U-607,,186,114,,11/08/2020 23:00
79,11.52,58.02,-174,46,Håkansson S:1969,"Haron, Bohuslan, Sweden",,g(15),1935,270,47,430,46,Lu-236,,153,66,,11/08/2020 23:00
80,11.62,57.78,-194,46,Håkansson S:1969,"Roro, N archipelago of Goteborg, Sweden",,g(10),1930,247,47,410,46,Lu-235,,39,66,,11/08/2020 23:00
81,11.62,57.78,-234,57,Håkansson S:1969,"Roro, N archipelago of Goteborg, Sweden",,g(10),1930,207,57,370,57,Lu-234,,32,66,,11/08/2020 23:00
82,9.88,57.73,-151,38,"Mangerud, J :1975","Skagerak, Norway",,,1906,352,39,458,38,T-1532,,163,102,,11/08/2020 23:00
685,9,56.8,-157,58,"Krog, H and T:1974","Fur Sund, Limfjorden, Denmark",,"b,j",1886,354,59,471,58,K-333,,155,89,,14/09/2024 14:59
84,10.53,57.5,-86,58,Heier-Nielse:1995,"W of Uirsholmene, Kattegat (15 m)",,,1912,401,58,520,58,AAR-1074,,243,74,,11/08/2020 23:00
85,10.6,57.48,-168,70,Heier-Nielse:1995,"NE of Hirsholmene, Kattegat (19 m)",,,1907,331,70,441,70,AAR-1075,,91,74,,11/08/2020 23:00
86,10.6,57.33,-196,74,Heier-Nielse:1995,Kattegat off Saeby,,,1916,283,74,409,74,AAR-904,,254,74,,11/08/2020 23:00
87,10.73,57.17,-185,58,Heier-Nielse:1995,"Les� Rende Fyrskib, Kattegat (18 m)",,,1885,328,58,444,58,AAR-1071,,174,74,,11/08/2020 23:00
88,11.58,56.75,28,60,Heier-Nielse:1995,"SE of Anholt Fyi, Kattegat (40 m)",,,1911,516,60,635,60,AAR-1068,,243,74,,11/08/2020 23:00
89,11.22,56.05,-93,58,Heier-Nielse:1995,"N of Sj. Odde, Gronne Revic Kattegat (19",,,1909,399,58,515,58,AAR-1070,,19,74,,11/08/2020 23:00
90,12.55,56.07,-170,59,Heier-Nielse:1995,�resund off HelIebaek,,,1885,343,59,459,59,AAR-905,,7,74,,11/08/2020 23:00
91,12.63,55.95,-138,54,Heier-Nielse:1995,Vedbaek �resund (15-18 m),,,1886,373,54,490,54,AAR-993,,2,74,,11/08/2020 23:00
92,10.88,55.47,-262,56,Heier-Nielse:1995,Storebaelt,,,1908,233,56,346,56,AAR-988,,1,74,,11/08/2020 23:00
93,9.72,55.28,-213,58,Heier-Nielse:1995,"Brands� Bredning, Lillebaelt",,,1886,298,58,415,58,AAR-991,,1,74,,11/08/2020 23:00
701,10.05,55.77,-44,66,Heier-Nielse:1995,"Horsens Fjord at Vors� (10 m -black,stin",,b,1945,371,66,559,66,AAR-994,,1,74,,11/08/2020 23:00
699,10.22,56.53,411,58,Heier-Nielse:1995,"Randers Fjord, by Holbaekgard 4 m",,b,1915,894,58,1017,58,AAR-985,,45,74,,11/08/2020 23:00
697,9.12,56.98,173,50,Heier-Nielse:1995,"Limfjorden, Denmark",,"b,c",1886,684,50,801,50,AAR-899,,151,74,,11/08/2020 23:00
693,8.48,56.75,282,53,Heier-Nielse:1995,"Dover Odde, Limfjorden, on poles",,b,1925,737,53,886,53,AAR-901,,155,74,,11/08/2020 23:00
691,8.35,56.55,-20,56,Heier-Nielse:1995,"Nissum Bredning, Limfjorden",,b,1908,475,56,588,56,AAR-902,,3,74,,11/08/2020 23:00
689,8.2,56.62,-32,57,Heier-Nielse:1995,"Thybor�n Kanal, Limfjorden (0-4 m)",,b,1910,457,57,575,57,AAR-898,,130,74,,11/08/2020 23:00
66,-22,64.33,-334,58,"Krog, H and T:1974","Faxe Bugt, Iceland",,"c,j",1861,185,58,311,58,K-330,,155,89,,14/09/2024 14:59
118,15.83,56.07,-273,40,"Håkansson, :1987","Langoren I,.Torhamn archipelago, SE Bele",,g,1900,244,41,340,40,Lu-1867,,294,72,,11/08/2020 23:00
119,14.58,56.07,-192,80,"Olsson, I U,:1980","Valvjeviken and Solveborgsviken, Bleking",,g(4),1892,327,80,430,80,St-1467,,267,112,,11/08/2020 23:00
120,14.58,56.07,-287,56,"Olsson, I U,:1980","Valvjeviken and Solveborgsviken, Bleking",,g(4),1892,232,56,335,56,St-1468,,314,112,,11/08/2020 23:00
121,16,56,-251,120,"Olsson, I U,:1980","SW coast of Skane (Scania), southern Bal",,"c,g(4)",1914,234,120,355,120,St-1469,,293,112,,11/08/2020 23:00
122,15,56,-273,64,"Olsson, I U,:1980","Karlshamn, Ronneby and Tjurko, Blekinge,",,"c,g(2)",1937,169,64,330,64,St-1474,,296,112,,11/08/2020 23:00
123,15.83,56.07,-253,56,"Olsson, I U,:1980","Torhammsfjarden, Langora, Blekinge, sout",,,1900,264,56,360,56,St-1517,,294,112,,11/08/2020 23:00
124,-8.73,40.68,153,90,Monges Soare:1993,Aveiro,,,1887,664,90,780,90,ICEN-254,,88,106,,11/08/2020 23:00
125,-8.73,40.68,-24,90,Monges Soare:1993,Aveiro,,,1920,443,90,580,90,ICEN-195,,120,106,,11/08/2020 23:00
126,-8.73,40.68,186,45,Monges Soare:1993,Aveiro,,,1920,653,46,790,45,ICEN-181,,188,106,,11/08/2020 23:00
127,-8.73,40.68,126,40,Monges Soare:1993,Aveiro,,,1920,593,41,730,40,ICEN-181,,188,106,,11/08/2020 23:00
128,-8.73,40.68,206,35,Monges Soare:1993,Aveiro,,,1922,669,36,810,35,ICEN-187,,188,106,,11/08/2020 23:00
129,-9.12,39.55,77,60,Monges Soare:1993,S. Martinho do Porto,,,1937,519,61,680,60,ICEN-192,,227,106,,11/08/2020 23:00
130,-8.78,38.32,34,90,Monges Soare:1993,Costa da Gale,,,1897,551,90,650,90,ICEN-253,,90,106,,11/08/2020 23:00
131,-8.8,38.42,-64,50,Monges Soare:1993,Settibal,,,1920,403,50,540,50,ICEN-245,,226,106,,11/08/2020 23:00
132,-8.73,41.25,-168,90,Monges Soare:1993,Leca da Palmeira,,,1886,343,90,460,90,ICEN-249,,155,106,,11/08/2020 23:00
133,-8.67,37.08,196,90,Monges Soare:1993,Portimao,,,1925,651,90,800,90,ICEN-251,,93,106,,11/08/2020 23:00
134,-8.05,37.02,76,70,Monges Soare:1993,Ria de Faro,,,1925,531,70,680,70,ICEN-204,,227,106,,11/08/2020 23:00
135,-8.05,37.02,103,60,Monges Soare:1993,Ria de Faro,,,1896,622,60,720,60,ICEN-194,,227,106,,11/08/2020 23:00
136,-8,37,-126,70,Monges Soare:1993,Cabo de S. Maria,,,1897,391,70,490,70,ICEN-246,,188,106,,11/08/2020 23:00
137,-7.78,37.02,6,50,Monges Soare:1993,Ria de Olhao,,,1934,449,51,610,50,ICEN-206,,188,106,,11/08/2020 23:00
138,-7.78,37.02,156,70,Monges Soare:1993,Ria de Olhao,,,1933,598,70,760,70,ICEN-205,,169,106,,11/08/2020 23:00
139,-7.78,37.02,-34,90,Monges Soare:1993,Ria de Olhao,,,1934,409,90,570,90,ICEN-193,,226,106,,11/08/2020 23:00
140,-7.72,37,167,80,Monges Soare:1993,Ilha da Culatra,,,1937,609,80,770,80,ICEN-243,,127,106,,11/08/2020 23:00
141,-8.5,37,75,40,Monges Soare:1993,Algarve,,,1917,551,41,680,40,ICEN-174,,49,106,,11/08/2020 23:00
142,-8.5,37,95,40,Monges Soare:1993,Algarve,,,1917,571,41,700,40,ICEN-175,,49,106,,11/08/2020 23:00
143,-8.5,37,235,70,Monges Soare:1993,Algarve,,,1917,711,70,840,70,ICEN-178,,49,106,,11/08/2020 23:00
144,-8.5,37,155,45,Monges Soare:1993,Algarve,,,1917,631,46,760,45,ICEN-183,,188,106,,11/08/2020 23:00
145,-7.72,37,267,45,Monges Soare:1993,Ilha da Culatra,,,1937,709,46,870,45,ICEN-180,,80,106,,11/08/2020 23:00
146,-7.45,37.18,-144,70,Monges Soare:1993,V.R.S. Antonio,,,1925,311,70,460,70,ICEN-250,,134,106,,11/08/2020 23:00
147,-162,55.5,97,50,"Robinson, S :1981","Pavlov Harbor, Alaska, USA",,c,1937,539,51,700,50,USGS-234,,202,128,,11/08/2020 23:00
148,-123,48.6,199,50,"Robinson, S :1981","Orcas Island, Washington, USA",,"c,g(15)",1915,682,50,805,50,USGS-177,,210,128,,11/08/2020 23:00
149,-124,48.4,245,50,"Robinson, S :1981","Sooke, British Columbia, Canada",,c,1916,724,50,850,50,USGS-170,,209,128,,11/08/2020 23:00
150,-123.43,48.43,146,50,"Robinson, S :1981","Esquimalt, British Columbia, Canada",,c,1930,587,50,750,50,USGS-133,,209,128,,11/08/2020 23:00
151,-123,48.6,344,30,"Robinson, S :1981","Orcas Island, Washington, USA",,"c,g(15)",1915,827,31,950,30,USGS-190,,203,128,,11/08/2020 23:00
704,-156.48,71.4,314,40,"McNeely R., :2006","Pt. Barrow, AK",Arctic Ocean Coastal,,1913,800,40,920,40,CAMS-46752,1.56,152,105,,11/08/2020 23:00
153,-124,44.6,235,35,"Robinson, S :1981","Yaquina Bay, Oregon, USA",,c,1916,714,36,840,35,USGS-169,,210,128,,11/08/2020 23:00
154,-124,44.6,230,50,"Robinson, S :1981","Yaquina Bay, Oregon, USA",,c,1916,709,50,835,50,USGS-189,,202,128,,11/08/2020 23:00
155,-124,43.3,292,50,"Robinson, S :1981","Sunset Bay, Oregon, US",,c,1936,735,51,895,50,USGS-233,,203,128,,11/08/2020 23:00
156,-1.42,44.4,-131,40,"Broecker, W :1961","Bay of Arcachon, France",,"d,h",1952,269,44,472,40,L-599A,,45,24,,11/08/2020 23:00
157,-73.08,40.95,-196,75,"Broecker, W :1961","Port Jefferson area, Long Island Sound,",,h,1954,200,81,407,75,L-317A,,315,24,,11/08/2020 23:00
158,-72.5,41.5,55,81,"Tanaka, N, M:1990","Stonington, Connecticut",,d,1935,499,81,659,81,Y-,,144,141,,31/08/2023 09:36
159,-73,41,-258,121,"Tanaka, N, M:1990",Eastern Long Island Sound,,"c,d",1866,257,121,384,121,Y-,,144,141,,31/08/2023 09:36
160,-72.83,41.42,-170,146,"Tanaka, N, M:1990","Brandfordt, Connecticut",,d,1937,272,146,433,146,Y-,,102,141,,31/08/2023 09:36
161,-72.92,41.5,61,73,"Tanaka, N, M:1990","New Haven, Connecticut",,d,1881,577,73,693,73,Y-,,73,141,,31/08/2023 09:36
162,-73,41.42,234,89,"Tanaka, N, M:1990","West Haven, Connecticut",,d,1922,697,89,838,89,Y-,,92,141,,31/08/2023 09:36
163,-73.08,41,232,97,"Tanaka, N, M:1990",Western Long Island Sound,,"c,d",1866,747,97,874,97,Y-,,20,141,,31/08/2023 09:36
164,-70,44,-127,56,"Tanaka, N, M:1990",Gulf of Maine,,"c,d",1878,382,57,507,56,Y-,,19,141,,11/08/2020 23:00
165,-70,44,-117,56,"Tanaka, N, M:1990","Quahog Bay, Maine",,d,1873,392,56,521,56,Y-,,144,141,,11/08/2020 23:00
166,-123,37.9,74,25,"Robinson, S :1981","Bolinas Bay, California, USA",,"c,g(5)",1915,557,26,680,25,USGS-248,,202,128,,11/08/2020 23:00
167,-122.45,37.47,139,35,"Robinson, S :1981","Half Moon Bay, California",,"c,g(5)",1915,622,36,745,35,USGS-280,,203,128,,11/08/2020 23:00
168,-122,36.6,134,35,"Robinson, S :1981","Monterey, California, USA",,"c,g(5)",1915,617,36,740,35,USGS-178,,202,128,,11/08/2020 23:00
169,-121,35.4,147,35,"Robinson, S :1981","Morro Bay, California, USA",,c,1947,557,36,750,35,USGS-281,,198,128,,11/08/2020 23:00
170,-122.7,37.9,147,50,"Ingram, B L :1996","Stinson Beach, Mann Co., California",,g,1936,590,51,750,50,CAMS-16295,,154,82,,11/08/2020 23:00
171,-122.7,37.9,187,50,"Ingram, B L :1996","Stinson Beach, Mann Co., California",,g,1936,630,51,790,50,CAMS-16296,,180,82,,11/08/2020 23:00
172,-121.9,36.7,117,50,"Ingram, B L :1996","Point Pinos, Pacific Grove, California",,g,1939,554,51,720,50,CAMS-18494,,154,82,,11/08/2020 23:00
173,-121.9,36.6,87,50,"Ingram, B L :1996","Carmel Bay, Monterey, California",,g,1939,524,51,690,50,CAMS-18497,,154,82,,11/08/2020 23:00
174,-121.8,36.8,266,50,"Ingram, B L :1996","Elkhorn Slough, Monterey Bay, California",,g,1930,707,50,870,50,CAMS-16294,,130,82,,11/08/2020 23:00
175,-122,37,-68,55,"Berger, R, T:1966","Monterey, California, USA",,c,1878,441,56,566,55,UCLA-149,,154,9,,30/08/2023 13:38
177,-117,32.7,129,35,"Robinson, S :1981","San Diego, California, USA",,"c,g(5)",1915,612,36,735,35,USGS-430,,211,128,,11/08/2020 23:00
178,-118.2791,33.7049,111,55,"Ingram, B L :1996","San Pedro, Los Angeles, California",,g,1895,631,55,730,55,CAMS-18503,,180,82,,11/08/2020 23:00
179,-117.9,33.6,66,50,"Ingram, B L :1996","Newport Bay, Orange Co., California",,g,1890,580,50,690,50,CAMS-18495,,180,82,,11/08/2020 23:00
180,-117.2596,32.7936,37,40,"Ingram, B L :1996","Mission Bay, San Diego, California",,g,1939,474,41,640,40,CAMS-18487,,130,82,,11/08/2020 23:00
181,-117.2,32.8,77,45,"Ingram, B L :1996","Mission Bay, San Diego, California",,g,1948,485,46,680,45,CAMS-18493,,154,82,,11/08/2020 23:00
182,-117.9,33.6,257,50,"Ingram, B L :1996","Newport Bay, Orange Co., California",,g,1948,665,51,860,50,CAMS-18501,,180,82,,11/08/2020 23:00
183,-117.2713,32.9511,-43,40,"Ingram, B L :1996","Del Mar, San Diego, California",,g,1948,365,41,560,40,CAMS-18496,,154,82,,11/08/2020 23:00
187,-117.2614,32.8603,102,80,"Bien, G S, R:1960","La Jolla Shores, California",,d,1953,500,82,705,80,LJ-86,,154,12,,11/08/2020 23:00
188,-119,34,-51,48,"Berger, R, T:1966","Seal Beach, California, USA",,c,1921,413,49,553,48,UCLA-1033,,126,9,,11/08/2020 23:00
189,-119.7,34.3774,197,30,"Ingram, B L :1996","Santa Barbara, California",,g,1936,640,31,800,30,CAMS-mean,,154,82,,11/08/2020 23:00
190,-119.7,34.3774,127,60,"Ingram, B L :1996","Santa Barbara, California",,g,1936,570,61,730,60,CAMS-mean,,154,82,,11/08/2020 23:00
191,-119.7,34.0322,7,40,"Ingram, B L :1996","Pelican Bay, Santa Cruz Is., California",,g,1949,413,41,610,40,CAMS-16297,,154,82,,11/08/2020 23:00
192,-122.5,38,102,60,"Ingram, B L :1996","Pt. Richmond, San Pablo Bay, California",,g,1943,524,61,705,60,CAMS-15701,,180,82,,11/08/2020 23:00
193,-122.2,37.7,347,100,"Ingram, B L :1996","San Francisco Bay, California",,g,1939,784,100,950,100,CAMS-8139,,154,82,,11/08/2020 23:00
194,-122.2,37.7,107,60,"Ingram, B L :1996","San Francisco Bay, California",,g,1939,544,61,710,60,CAMS-8140,,154,82,,11/08/2020 23:00
195,-122.2,37.7,197,70,"Ingram, B L :1996","San Francisco Bay, California",,g,1939,634,70,800,70,CAMS-8141,,154,82,,11/08/2020 23:00
196,-122.2,37.7,126,50,"Ingram, B L :1996","San Francisco Bay, California",,g,1899,643,50,740,50,CAMS-18486,,130,82,,11/08/2020 23:00
197,-122.5,38,307,50,"Ingram, B L :1996","Pt. Richmond, San Pablo Bay, California",,g,1943,729,51,910,50,CAMS-15700,,154,82,,11/08/2020 23:00
198,-122.5,38,-126,80,"Ingram, B L :1996","Pt. Richmond, San Pablo Bay, California",,g,1943,296,80,477,80,CAMS-15702,,130,82,,11/08/2020 23:00
199,-122.2,37.7,397,70,"Ingram, B L :1996","San Francisco Bay, California",,g,1939,834,70,1000,70,CAMS-8873,,154,82,,11/08/2020 23:00
201,3,36.75,-12,35,"Siani, G, Pa:2000",Alger. Algeria,,,1881,504,36,620,35,GifA-96710,,173,130,,30/08/2023 13:38
83,9.75,55.52,-398,71,"Krog, H and T:1974","Middlefart Sund, Denmark",,j,1861,121,72,247,71,K-331,,155,89,,14/09/2024 14:59
203,1.92,36.53,-150,35,"Siani, G, Pa:2000","Cherchel, Algeria",,d,1905,358,36,460,35,Gif-4067,,249,130,,30/08/2023 13:38
204,2.5,36.58,-103,50,"Siani, G, Pa:2000",Mahdia. Algeria,,,1948,305,51,500,50,Ly-6948,,351,130,,30/08/2023 13:38
205,7,43.55,-188,40,"Siani, G, Pa:2000","Antibes, France",,,1873,321,41,450,40,GifA-96726,,175,130,,30/08/2023 13:38
206,6.67,43.5,-167,35,"Siani, G, Pa:2000","St Raphael, France",,,1892,352,36,455,35,GifA-96724,,175,130,,30/08/2023 13:38
207,5.92,43.17,-152,40,"Siani, G, Pa:2000","La Seyne, France",,,1892,367,41,470,40,GifA-96699,,56,130,,30/08/2023 13:38
208,3.5,43.33,-128,35,"Siani, G, Pa:2000","Marseille, France",,,1873,381,36,510,35,GifA-96711,,173,130,,30/08/2023 13:38
