z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
3,7,Li,,,,,,0,25,,(1- 2-),,,,,,,N,100,,,,,,,,2,,,,,20445.1411,12.7216,13632.8587,12.7216,-11248.0128,254.4450,-16144.519,93.715,-26.4045,12.7200,15172.1698,48.5141,4531.3512,1.2721,10035483.453,13.656,33052.628,12.721,N,1975,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2023-10-18
3,8,Li,2.4820,0.0430,,,,0,,,3/2-,8.75,,14,ms,0.00875,0.00014,B-,100,,B-N,,,,,,5/2,3.6711,0.0002,-0.0333,0.0005,20551.0898,0.6591,20049.4540,0.6201,-10832,1004,,,395.6871,12.7362,15757.8592,92.8497,4155.3817,0.0559,11043723.581,0.660,40728.259,0.615,N,1966,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2023-10-18
3,9,Li,,,,,,0,,,(1- 2-),,,,,,,N,100,,,,,,,,,,,,,23931.8152,30.0669,20761.0898,30.0072,,,,,-210.0000,30.0000,,,3791.5999,2.5005,12052613.942,32.213,49009.577,30.006,N,2008,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2023-10-18
4,2,Be,,,,,,0,,,0+,92,,6,keV,4.959105598602019e-21,3.234199303436099e-22,A,100,,2P,100,,,,,1,,,,,-28945,2003,,,,,4288.154,5.448,26835,2003,592.8241,50.2959,4487.2478,0.9080,6019726.409,5.848,18375.034,5.448,N,1958,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2023-10-18
4,3,Be,2.6460,0.0160,,,,0,,,3/2-,53.22,,6,d,4598208,5184,EC,100,,,,,,,,1/2,-1.39928,0.000004,,,-11907.5551,25.1504,-39622,2003,-1587.1371,0.0708,861.893,0.071,10677.3542,5.4482,5606.8539,0.0709,5371.5487,0.0101,7016928.714,0.076,15768.998,0.071,N,1938,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2023-10-18
4,4,Be,,,,,,0,,,0+,5.57,,25,eV,8.190982317260066e-17,3.676383445807929e-18,A,100,,,,,,,,0,,,,,-17979.8973,1.0005,-30806.1992,25.1504,91.8399,0.0354,-16004.133,0.059,18898.6440,0.0792,17254.4040,0.0356,7062.4356,0.0044,8005305.102,0.037,4941.672,0.035,N,1932,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2023-10-18
4,5,Be,2.5190,0.0120,100,,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,1/2,-1.17743,0.000005,0.0529,0.0004,-1068.0349,0.8994,-19644.4361,1.0028,-2307.6989,20.0001,-13606.454,0.201,1664.5388,0.0843,16886.3247,0.0898,6462.6693,0.0085,9012183.062,0.082,11348.451,0.076,N,1921,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2023-10-18
4,6,Be,2.3550,0.0170,,,,0,,,0+,1.51E+6,,4,Y,47650958221633.92,1262277038983.68,B-,100,,,,,,,,1,,,,,556.8759,0.0822,-7880.3173,0.9009,-7409.5245,0.0966,-20445.141,12.721,6812.2824,0.0519,19636.3895,0.2031,6497.6306,0.0081,10013534.692,0.086,12607.487,0.081,N,1935,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2023-10-18
4,7,Be,2.4630,0.0150,,,,0,,,1/2+,13.76,,7,s,13.76,0.07,B-,100,,B-A,3.1,,B-P,0.00083,,3/2,-1.6816,0.0008,,,11509.4607,0.2380,55.2401,0.2382,-8320.8746,7.5632,-20551.09,0.65,501.6358,0.2511,20164.4299,12.7236,5952.5402,0.0216,11021661.08,0.255,20177.169,0.238,N,1958,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2023-10-18
4,8,Be,,,,,,0,,,0+,21.46,,5,ms,0.02146,0.00005,B-,100,,B-N,0.5,0.03,,,,2,,,,,11708.3636,2.3214,8338.7353,1.9086,-8956.8373,1.9106,-23931.816,30.067,3170.7254,1.9233,22939.4682,2.0051,5720.7223,0.1590,12026922.082,2.048,25077.761,1.909,N,1966,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2023-10-18
4,9,Be,,,,,,0,,,(1/2-),2.7E-21,,18,s,2.7e-21,1.8e-21,N,,,,,,,,,,,,,,17097.1315,10.2295,12218.3636,10.2659,-9701.6627,47.9106,-23321.815,70.739,-510.0000,10.0000,22639.4682,31.6863,5241.4359,0.7831,13036134.506,10.929,33659.080,10.180,N,1983,23-Apr-1986,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2023-10-18
4,10,Be,,,,,,0,,,,4.35,,17,ms,0.00435,0.00017,B-,100,,B-N,81,4,B-2N,5,2,,,,,,16290.8166,133.9357,15321.2364,132.2489,-11667.5601,161.5842,,,1775.8951,132.6364,24315.3634,149.6300,4993.8973,9.4461,14042892.92,141.970,39954.502,132.245,N,1973,1-JUL-1990,F. AJZENBERG-SELOVE,2023-10-18
4,11,Be,,,,,,0,,,(5/2+),0.58,,20,MeV,7.866167501230788e-22,2.7124715521485475e-22,N,100,,,,,,,,,,,,,20868.4411,167.1256,18090.8166,167.1489,,,,,-1800.0000,100.0000,,,4540.9708,11.0532,15053490.215,177.990,49825.821,165.797,N,2013,31-MARCH-2015,J. Kelley,2023-10-18
4,12,Be,,,,,,0,,,0+,0.8,,2,MeV,5.702971438392321e-22,1.4257428595980803e-22,N,100,,,,,,,,,,,,,20335.4399,167.6075,20418.4411,167.1256,,,,,450.0000,141.4214,,,4285.2851,10.3623,16061672.036,177.990,57447.139,165.797,N,2012,29-SEPT-2014,J. Kelley,2023-10-18
5,2,B,,,,,,0,,,(3/2-),801,,20,keV,5.695851623862494e-22,1.4221851744975015e-23,P,100,,,,,,,,3/2,,,,,,,,,-3415,2000,11907.555,25.15,27715,2003,-2012.5479,25.7336,3558.7055,3.5929,7029712,27.000,27676.553,25.150,N,1967,01-June-2014,J. Kelley and  C.G. Sheu,2023-10-18
5,3,B,,,,,,0,,,2+,770,,3,ms,0.77,0.003,EC+B+,100,,B+A,100,,,,,1,1.0355,0.0003,0.0643,0.0014,-12142.7002,18.2704,,,-4826.5368,212.1344,17979.897,1.001,12826.3018,25.1702,136.3997,1.0024,4717.1551,0.1250,8024607.315,1.073,22921.569,1.000,N,1950,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2023-10-18
5,4,B,,,,,,0,,,3/2-,0.54,,21,keV,8.448846575396032e-19,3.2856625570984566e-19,P,100,,,,,,,,1/2,,,,,-16494.4854,2.3195,-30719.1014,18.2653,-1687.3169,50.0081,1068.035,0.906,18576.4012,1.3470,-185.8431,0.9033,6257.0713,0.1003,9013329.645,0.969,12416.486,0.903,N,1940,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2023-10-18
5,5,B,2.4277,0.0499,19.65,0.44,,0,,,3+,STABLE,,,,,,,,,,,,,,,0,1.8004636,0.0000008,0.0846,0.0002,-3648.0623,0.0687,-24931.6787,2.1367,-4461.1857,0.0150,-556.876,0.082,8437.1932,0.9027,6586.8113,0.0779,6475.0835,0.0015,10012936.862,0.016,12050.611,0.015,N,1920,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2023-10-18
5,6,B,2.4060,0.0294,80.35,0.44,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,1/2,2.688378,0.000001,0.04059,0.0001,-1981.6889,0.0608,-15102.2829,0.0714,-8664.3124,0.0128,-11509.461,0.238,11454.2206,0.0192,11228.7495,0.0818,6927.7323,0.0011,11009305.166,0.013,8667.708,0.012,N,1920,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2023-10-18
5,7,B,,,,,,0,,,1+,20.20,,2,ms,0.0202,0.00002,B-,100,,B-A,0.6,0.02,,,,1,1.003,0.001,0.0132,0.0003,13369.3979,1.3214,-5351.3172,1.3228,-10001.3225,1.3223,-11708.363,2.321,3369.6283,1.3215,14096.7420,1.3426,6631.2237,0.1101,12014352.638,1.418,13369.398,1.321,N,1935,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2023-10-18
5,8,B,,,,,,0,,,3/2-,17.33,,17,ms,0.01733,0.00017,B-,100,,B-N,0.286,,,,,3/2,3.1778,0.0005,0.0365,0.0008,13436.9387,1.0001,8490.6300,1.0001,-10817.8729,1.0173,-17097.132,10.229,4878.7679,1.6572,15804.7845,2.1547,6496.4194,0.0769,13017779.981,1.073,16561.948,1.000,N,1956,23-Apr-1986,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2023-10-18
5,9,B,,,,,,0,,,2-,12.5,,5,ms,0.0125,0.0005,B-,100,,B-N,6.1,,,,,2,1.185,0.005,0.0297,0.0008,20643.7926,21.2133,12467.3585,21.2133,-11813.8576,24.7353,-16290.816,133.936,969.5802,21.2369,17284.3647,23.5297,6101.6451,1.5152,14025404.01,22.773,23663.686,21.213,N,1966,1-JUL-1990,F. AJZENBERG-SELOVE,2023-10-18
5,10,B,,,,,,0,,,,9.93,,7,ms,0.00993,0.00007,B-,100,,B-N,99.68,,,,,,2.659,0.015,0.0379,0.0011,19084.2343,21.0442,17866.1681,21.0290,-14195.795,21.0379,-20868.442,167.125,2777.6245,29.8701,18286.0941,133.9066,5880.0438,1.4019,15031087.023,22.575,28957.379,21.029,N,1966,1-Jul-1990,F. AJZENBERG-SELOVE,2023-10-18
5,11,B,,,,,,0,,,,100,LT,,keV,4.5623771507138576e-21,0,N,100,,,,,,,,,,,,,23417.5656,24.8254,19167.2355,24.5793,-14322.7938,38.7799,-20335.44,167.60,-83.0012,14.6047,20003.0929,167.6075,5507.3535,1.5354,16039841.045,26.373,37111.699,24.566,N,2000,16-Jan-2016,J.H. Kelley and  G.C. Sheu,2023-10-18
5,12,B,,,,,,0,,,(3/2-),5.08,,5,ms,0.00508,0.00005,B-,100,,B-N,63,1,B-2N,11,7,,2.55,0.02,0.0385,0.0015,22684.4422,204.8410,21950.8705,204.1350,-15689.4889,215.7746,,,1466.6951,205.5768,21019.7880,262.9583,5269.6677,12.0061,17046931.399,219.114,43716.322,204.104,N,1973,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2023-10-18
5,13,B,,,,,,0,,,(2-),,,,,,,N,100,,,,,,,,,,,,,26873.3742,206.3572,22689.4423,204.9020,,,,,-5.0000,5.0000,,,4976.6306,11.3425,18055601.683,219.180,51792.640,204.165,N,2010,16-Jan-2016,J.H. Kelley and  C.G. Sheu,2023-10-18
5,14,B,,,,,,0,,,3/2-,2.92,,13,ms,0.00292,0.00013,B-,100,,B-N,71.8,,B-2N,16,,,,,,,27356.4961,534.4964,26779.6669,526.2185,,,,,93.7073,563.6393,,,4719.6346,27.6507,19064166,564.000,59770.251,525.363,N,1984,25-Oct-2018,G.C. Sheu and  J.H. Kelley,2023-10-18
5,15,B,,,,,,0,,,(1- 2-),500,LT,,keV,9.124754301427716e-22,0,N,100,,,,,,,,,,,,,31898.0019,593.0377,28916.4961,555.1454,,,,,-1560.0000,150.0000,,,4405.6529,27.3178,20074505.644,586.538,69401.569,546.357,N,2018,01-Jan-2019,J.H. Kelley and  G.C. Sheu,2023-10-18
5,16,B,,,,,,0,,,(3/2-),600,LT,,keV,7.603961917856429e-22,0,2N,100,,,,,,,,,,,,,32740,817,32808.0020,604.3953,,,,,-910.0000,242.0744,,,4152.5265,26.6031,21084147.485,599.750,78382.887,558.664,N,2018,01-Jan-2019,J.H. Kelley and  G.C. Sheu,2023-10-18
6,2,C,,,,,,0,,,0+,130,,50,keV,3.509520885164506e-21,1.3498157250632716e-21,2P,100,,,,,,,,2,,,,,,,,,,,12142.7,18.2,,,-98.7453,31.0700,3101.5242,2.2804,8037643.039,19.584,35064.269,18.243,N,1974,13-Aug-2018,J.E. Purcell and  C.G. Sheu,2023-10-18
6,3,C,,,,,,0,,,3/2-,126.5,,10,ms,0.1265,0.001,EC+B+,100,,B+P,62,1.9,B+A,37.9,5.8,3/2,1.3914,0.0005,,,,,,,-10653,2003,16494.485,2.32,14224.6160,18.3677,1299.5688,2.3590,4337.4233,0.2374,9031037.202,2.293,28910.971,2.137,N,1964,31-July-2020,J.H. KELLEY and  B. Grees,2023-10-18
6,4,C,,,,,,0,,,0+,19.290,,12,s,19.29,0.012,EC+B+,100,,,,,,,,1,,,,,-23101.3545,400.0000,,,-5101.2767,5.4482,3648.062,0.072,21283.6164,2.1378,4006.7840,0.9054,6032.0426,0.0070,10016853.217,0.075,15698.673,0.070,N,1949,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2023-10-18
6,5,C,,,,,,0,,,3/2-,20.364,,14,m,1221.84,0.84,EC+B+,100,,,,,,,,1/2,-0.964,0.001,0.0333,0.0002,-13716.2469,5.0008,-36221.9485,400.0000,-7544.5165,0.0926,1981.689,0.061,13120.5940,0.0922,8690.1847,0.0615,6676.4563,0.0054,11011432.597,0.064,10649.397,0.060,N,1934,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2023-10-18
6,6,C,2.4702,0.0022,98.94,0.06,,0,,,0+,STABLE,,,,,,,,,,,,,,,0,,,0.06,0.03,-17338.0681,0.9999,-32436.9620,5.0005,-7366.5875,0.0354,-13369.398,1.321,18720.7151,0.0596,15956.6792,0.0121,7680.1446,0.0002,12000000,0.0,0.0,0.0,N,1919,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2023-10-18
6,7,C,2.4614,0.0034,1.06,0.06,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,1/2,0.702369,0.000004,,,-2220.4718,0.2695,-22284.3768,0.9999,-10648.3575,0.0765,-13436.939,1.0,4946.3087,0.0005,17533.3596,1.3214,7469.8495,0.0002,13003354.83534,0.00025,3125.00933,0.00023,N,1929,1-Jul-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2023-10-18
6,8,C,2.5025,0.0087,,,,0,,,0+,5700,,30,Y,179874478055.1744,946707779.23776,B-,100,,,,,,,,1,,,,,156.4765,0.0037,-10396.9059,0.2696,-12012.5091,0.0810,-20643.793,21.213,8176.4341,0.0038,20831.0258,1.0001,7520.3198,0.0004,14003241.98862,0.00403,3019.89328,0.00375,N,1936,1-JUL-1990,F. AJZENBERG-SELOVE,2023-10-18
6,9,C,,,,,,0,,,1/2+,2.449,,5,s,2.449,0.005,B-,100,,,,,,,,3/2,1.72,0.009,,,9771.7071,0.8000,-1061.5897,0.8000,-12728.9395,0.8346,-19084.234,21.044,1218.0662,0.8000,21079.5118,21.2284,7100.1696,0.0533,15010599.256,0.858,9873.145,0.800,N,1950,1-Jul-1990,F. AJZENBERG-SELOVE,2023-10-18
6,10,C,,,,,,0,,,0+,0.747,,8,s,0.747,0.008,B-,100,,B-N,99,0.3,,,,2,,,,,8010.226,4.2540,5521.3770,3.5777,-13808.5442,4.0549,-23417.566,24.825,4250.3301,3.6661,22552.2174,21.3311,6922.0546,0.2236,16014701.255,3.840,13694.133,3.578,N,1961,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2023-10-18
6,11,C,,,,,,0,,,3/2+,193,,6,ms,0.193,0.006,B-,100,,B-N,26,1.8,,,,,0.758,0.004,,,13161.8007,22.9464,7276.6542,17.5167,-15052.1159,20.1291,-22684.442,204.841,733.5717,17.7296,23368.7903,30.0839,6558.0262,1.0215,17022578.65,18.641,21031.880,17.365,N,1968,01-May-2017,J.H. Kelley and  G.C. Sheu,2023-10-18
6,12,C,,,,,,0,,,0+,92,,2,ms,0.092,0.002,B-,100,,B-N,31.5,1.5,,,,3,,,,,11806.0982,35.2821,8977.8688,33.5410,-17460.1527,135.6052,-26873.374,206.357,4183.9319,34.6632,26086.0271,206.2966,6426.1321,1.6667,18026751.93,32.206,24919.266,30.000,N,1969,01-May-2017,J. Kelley and  C.G. Sheu,2023-10-18
6,13,C,,,,,,0,,,(1/2+),46.3,,40,ms,0.0463,0.004,B-,100,,B-N,47,3,B-2N,7,3,,,,,,16557.4995,99.7475,11229.2690,100.1265,-19836.982,192.7933,-27356.497,534.497,576.8292,93.7043,26667.8564,226.6358,6118.274,5.1784,19034797.594,105.625,32413.754,98.389,N,1974,23-March-2017,J.H. Kelley and  G.C. Sheu,2023-10-18
6,14,C,,,,,,0,,,0+,16.3,,+40-35,ms,0.0163,0.00375,B-,100,,B-N,65,18,B-2N,18.6,,,,,,,15737.0689,243.7459,13575.9936,231.2074,-22368.4878,284.0361,-31898.002,593.038,2981.5058,250.7354,29555.6549,573.7540,5961.4356,11.5312,20040261.732,247.585,37503.567,230.625,N,1981,9-June-2017,M.S. Narijauskas and  J.H. Kelley and  C.G. Sheu,2023-10-18
6,16,C,,,,,,0,,,0+,6.1,,+14-12,ms,0.0061,0.0013,B-,100,,B-N,61,,B-2N,37,,,,,,,21846.3983,311.0627,20307.9695,267.5007,,,,,103,640,32060.6549,604.7261,5421.0778,10.5223,22057553.99,248.515,53611.203,231.490,N,1986,1-Apr-2015,M. Shamsuzzoha Basunia,2023-10-18
7,3,N,,,,,,0,,,(1-),2.5,,+20-15,MeV,1.8249508602855427e-22,1.2774656021998798e-22,P,100,,,,,,,,2,,,,,,,,,-10945,2042,23101.354,400.0,,,-2600.0851,400.0057,3643.6724,40.0000,10041653.54,429.417,38800.027,400.000,N,2002,20-July-2017,M.S. Narijauskas and  J.H. Kelley and  C.G. Sheu,2023-10-18
